source	log_area	quest_id	title	category	start_npc	previous
ledger_missing	adoulin	105	A Barrel of Laughs	Adoulin Quests	Tuffle-Buffle, Western Adoulin	[[To Laugh Is to Love]]
ledger_missing	jeuno	163	A Quaternary Trial in Tandem	Fellowship Quests	[[Luto Mewrilah]], [[Upper Jeuno]] (G-8)	[[Yet Another Trial in Tandem]]
ledger_missing	adoulin	117	A Thirst Before Time	Adoulin Quests	Roskin, Eastern Adoulin	[[The Curious Case of Melvien]]<br />[[A Thirst for Eternity]]
ledger_missing	adoulin	116	A Thirst for Eternity	Adoulin Quests	[[Roskin]] (Near Cafe des Larmes, Eastern Adoulin)	[[A Thirst for the Eons]]
ledger_missing	adoulin	115	A Thirst for the Eons	Adoulin Quests	[[Roskin]] (Near Caf['e] des Larmes, Eastern Adoulin)	[[A Thirst for the Ages]]
ledger_missing			A Thousand Cuts	Jeuno Quests	[[Duberasson]], [[Western Adoulin]] (H-11)	[[To Kill Mocking Birds]]
ledger_missing	jeuno	160	A Trial in Tandem	Fellowship Quests	[[Luto Mewrilah]], [[Upper Jeuno]] (G-8)	[[Clash of the Comrades]]
ledger_missing	jeuno	164	A Trial in Tandem Revisited	Fellowship Quests	[[Luto Mewrilah]], [[Upper Jeuno]]	[[A Quaternary Trial in Tandem]]
ledger_missing	jeuno	161	A Trial in Tandem, Redux	Fellowship Quests	[[Luto Mewrilah]], [[Upper Jeuno]] (G-8)	[[A Trial in Tandem]]
ledger_missing			Altepa Gate	Mini-Quests	<no Start field>	
ledger_missing	jeuno	174	Beam Me Up...No, Not There!	Jeuno Quests	[[Anastase]], [[Ru'Lude Gardens]] (G-9)	[[Further Founts]]
ledger_missing	jeuno	81	Blighted Gloom	Fellowship Quests	[[Luto Mewrilah]], [[Upper Jeuno]] (G-8)	[[Past Reflections]]
ledger_missing	otherAreas	126	Chacharoon's Cheer	Mog Garden Quests	[[Green Thumb Moogle]], Mog Gardens	[[Cry Not, Caretaker]]
ledger_missing	jeuno	84	Chameleon Capers	Fellowship Quests	[[Luto Mewrilah]], [[Upper Jeuno]] (G-8)	
ledger_missing	jeuno	101	Clash of the Comrades	Fellowship Quests	[[Luto Mewrilah]], [[Upper Jeuno]] (G-8)	[[Mixed Signals]]
ledger_missing	otherAreas	125	Cry Not, Caretaker	Mog Garden Quests	Green Thumb Moogle, Mog Garden	[[Feeding Frenzy]]
ledger_missing	adoulin	62	Did You Feel That?	Adoulin Quests	[[Udip Ferawoh]], [[Marjami Ravine]]	
ledger_missing			Disappointment Valley	Jeuno Quests	[[Duberasson]], [[Western Adoulin]] (H-11)	[[To Kill Mocking Birds]]
ledger_missing	otherAreas	128	Doctor Chacharoon	Mog Garden Quests	Chacharoon, Mog Garden	[[Trial of the Chacharoon]]
ledger_missing	adoulin	143	Epiphany	Adoulin Quests	[[Octavernost]], [[Western Adoulin]] (K-9)	[[Rune Fencer Relic Armor]]
ledger_missing	adoulin	137	Eye of the Beholder	Adoulin Quests	[[Behsa Alehgo]], [[Eastern Adoulin]] - (J-8)	[[The Secret to Success]]
ledger_missing			Fame		<no Start field>	
ledger_missing	otherAreas	124	Feeding Frenzy	Mog Garden Quests	Green Thumb Moogle, Mog Garden	[[Release the Fleece]]
ledger_missing			Fish Favors the Bold	Outlands Quests	[[Irmilant]], [[Rabao]] - (G-7)	[[Indomitable Spirit]]
ledger_missing	adoulin	120	Flowers for Svenja	Adoulin Quests	[[Door: Svenja's Manor|Door: Svenja's Manor]], [[Western Adoulin]] - (I-8)	
ledger_missing			Geomancer Relic Armor	Adoulin Quests	Hestefa, Celennia Memorial Library	[[The Communion]]
ledger_missing	adoulin	134	Geomancerrific	Adoulin Quests	Nhili Uvolep (Order of Renaye, Eastern Adoulin)	[[Elementary, My Dear Sylvie]]
ledger_missing	jeuno	78	Girl in the Looking Glass	Fellowship Quests	[[Luto Mewrilah]], [[Upper Jeuno]] (G-8)	[[Unlisted Qualities]]
ledger_missing	otherAreas	130	Glittering Gals	Mog Garden Quests	[[Green Thumb Moogle]], [[Mog Garden]]	[[Full Speed Ahead!]]<br />[[Titillating Tomes]]<br />[[Rowing Together]]
ledger_missing			Go With the Flow	Jeuno Quests	[[Duberasson]], [[Western Adoulin]] (H-11)	[[To Kill Mocking Birds]]
ledger_missing			Goblin Stew 880	Gobbiebag Quests	<no Start field>	
