sha,date,tier,area,files,status,note,subject
bfd92af853,2025-10-08,D,lua+sql,115,skip-large,"115 files, structural",[lua] Mobskill Rework: Magical
4d6a102533,2025-12-08,D,lua,150,skip-large,"150 files, structural",[lua] Magic Mobskill Rework 3/3
4e3d25c0aa,2025-12-08,D,sql,1,,,[lua][sql] Correcting Amphiptere Knockback Skill ID
aca65af5d3,2025-12-08,D,lua+sql,96,skip-large,"96 files, structural",[lua] Magic Mobskill Rework 2/3
219907d7c0,2025-12-23,D,lua+sql,10,,,[lua] [sql] BCNM 50 Idol Thoughts
2e25cf2ea4,2026-01-03,D,lua+sql,11,content-queued,see content_queue.csv; new_text_keys=1; applies_clean=no,[lua] [sql] ENM Fire in the Sky
5822f31afe,2026-01-08,D,other,7,,,"[ci,docker] Update to Ubuntu 26.04"
91933242a7,2026-01-08,D,other,1,,,Update some dependencies
c325ca7c27,2026-01-08,D,other,2,,,[docker] Update to latest Alpine stable
88db5c32ec,2026-01-12,D,cpp,16,,,Clean up cppcheck errors
43e97389af,2026-01-27,D,mod,1,,,PacketCap module to save clients packets
644f9f5cab,2026-01-30,D,mod,3,,,[sql] RDM era changes
86031bf18b,2026-02-01,D,lua+mod+sql,10,,,"[lua, sql][module] Pld Era Audits"
f856eb676b,2026-02-02,D,lua,2,,,Cleanup pirate_chart and brigands_chart scripts
1e09cef4fd,2026-02-03,C,lua,1,conflict,does not apply cleanly onto 9e6f10c2fb,Quest SOB6 Wild Card Bug Fix Wrong Zone
23d834ff0c,2026-02-03,C,sql,1,candidate,"applies cleanly, not yet built or reviewed",[sql] Ifrits Cauldron untargetable mining point fix
3d5daf9b01,2026-02-03,D,cpp,2,,,Synthutils: Cleanup pre-work
63cab45adf,2026-02-03,B,cpp,1,adopted,in verified batch 2026-08-21; build + 264/264 tests pass,[core] Teleport pets on player cutscene teleport
919368fb93,2026-02-03,D,lua,1,,,Critical WS tests
920093a4e1,2026-02-03,D,cpp,1,,,[search] Update LS list loader to support 64 characters
ab602d9586,2026-02-03,D,cpp,1,,,Separate synthesis from desynthesis calculations
b741c57ff0,2026-02-03,D,sql,1,,,[sql] Update quantity of items sold by Leathercraft guild
f3864e4d7a,2026-02-03,D,lua+sql,5,content-queued,see content_queue.csv; new_text_keys=2; applies_clean=yes,BLM AF 1 Audit
f5f33f62f0,2026-02-03,C,lua,1,candidate,"applies cleanly, not yet built or reviewed",Fix enfeebling spell tier fetching
4246fc4d19,2026-02-04,D,sql,1,,,[sql] Update quantity of items sold by Cooking guild
5fcfda796b,2026-02-04,D,lua+sql,7,,,Castle Zvahl NM Audits
75e4173ee5,2026-02-04,D,lua+sql,4,,,BLM AF3 Audit and Bio III access adjustment
9bcd274541,2026-02-04,D,lua,2,,,[test] Adjust for rename of dmg -> damage
a4fed23e47,2026-02-04,D,lua,949,skip-large,"949 files, structural",[lua] Adjust mobskills/petskills to pass a table/in out of ALL of them
beafd4c62e,2026-02-04,D,sql,1,,,[SQL] Update yield quantity of Antacid synth
c88d0dfa3b,2026-02-04,D,lua+sql,11,,,[lua] [sql] Gigas Audit
cc0b1d9b47,2026-02-04,C,lua+sql,10,content-queued,see content_queue.csv; new_text_keys=2; applies_clean=no,[lua] [sql] Gration & Additional Gigas Fixes
f05b772d33,2026-02-04,D,lua+sql,7,content-queued,see content_queue.csv; new_text_keys=2; applies_clean=yes,Samurai AF2 part 2 Audit
2b1db03aba,2026-02-05,C,lua,1,candidate,"applies cleanly, not yet built or reviewed","Fix map error from quest ""Test My Mettle"""
53cd826623,2026-02-05,D,lua,63,skip-large,"63 files, structural",[lua] Breath Mobskill Adjustments
6d6b007523,2026-02-05,D,lua+sql,6,content-queued,see content_queue.csv; new_text_keys=1; applies_clean=yes,White Coney Audit
6dd19b0566,2026-02-05,D,lua,1,,,chaging blood saber to wipe shadows instead of ignoring them
8a82772fc7,2026-02-05,D,lua,1,,,[lua] Define more monskill ENUMs
90707ef70b,2026-02-05,D,sql,1,,,[sql] Update quantity of items sold by Smithing guild
a4f088aa2f,2026-02-05,B,cpp+lua,4,adopted,in verified batch 2026-08-21; build + 264/264 tests pass,[core] add onMobSkillReadyTime to choose ready time for mobskill
adf7d592ee,2026-02-05,A,lua,1,adopted,in verified batch 2026-08-21; build + 264/264 tests pass,[lua] Add nil check to black dragon title obtainment
bab2ce4759,2026-02-05,B,cpp,1,conflict,does not apply cleanly onto 9e6f10c2fb,"[core] Adjust desynth HQ2/3 algo, add comments"
ef3081570a,2026-02-05,D,lua,4,,,Add Trust Setting to Bastok -> Sandy 2-3
056cd9e5a2,2026-02-06,D,sql,1,,,Lizard TP move ready times audit
11fae471ea,2026-02-06,D,sql,1,,,[sql] Update quantity of items sold by Woodworking guild
13fcc0aa8f,2026-02-06,D,lua+sql,10,content-queued,see content_queue.csv; new_text_keys=1; applies_clean=yes,SAM AF3 Audit
6d51727950,2026-02-06,D,lua,14,,,"Avatar ""spells"" mobskills ignore shadows"
6f3b7df14e,2026-02-06,D,lua,125,skip-large,"125 files, structural",Add player check to all mobs that grant a title in onMobDeath
733df81c2a,2026-02-06,D,lua,1,,,Horu/CastleKeep Chest Spawn pos
86322838d0,2026-02-06,D,lua,1,,,"Make Violent Flourish Stun effect use ""Resist State"" function"
9b3e1b35f8,2026-02-06,D,sql,1,,,BST jugpets hitboxes
ae47787be8,2026-02-06,D,cpp,1,,,Adjust desynth success penalty for -1 to -7 range
be908c1057,2026-02-06,D,lua,1,,,[lua] Update Gration skill ready times to 0
f047a43c67,2026-02-06,D,lua,1,,,Treasure/Coffer gem drop rate adjustment
ff894b5d02,2026-02-06,D,lua,1,,,Overhaul magic_hit_rate functions to use a parameter table
8fd8ce133c,2026-02-07,D,lua+sql,4,,,SMN AF1 Fight Audit
bcf67e7290,2026-02-07,D,lua,2,,,Minotaur/KV party draw-in consider pet master
055c11e2e5,2026-02-08,C,lua,1,candidate,"applies cleanly, not yet built or reviewed",Fix treasure weakness time
1b6201db12,2026-02-08,D,lua,1,,,"[lua] JoL adjustments for edge cases, some retail accuracy for AV spawn"
43e73d7b5d,2026-02-08,D,lua+sql,5,,,SMN AF2 and AF3 Audit
